step,inception_score,fid_mean,precision,recall
2000,1.0577465295791626,267.9934,0.0,0.0
4000,1.6962443590164185,172.61554,0.00654296875,0.0
6000,1.8998823165893555,100.54613,0.09921875,0.0034
8000,1.95924711227417,73.23277,0.20419921875,0.0014
10000,2.2126102447509766,54.91849,0.25869140625,0.0062
12000,2.409020185470581,43.113564,0.303125,0.0099
14000,2.6454362869262695,36.60542,0.32626953125,0.0206
16000,2.8340461254119873,33.085457,0.3310546875,0.0317
18000,3.061863660812378,30.820297,0.3296875,0.0482
20000,3.161165237426758,29.585646,0.3232421875,0.0687
22000,3.296875238418579,28.612598,0.31650390625,0.0819
24000,3.4413795471191406,27.500713,0.3138671875,0.107
26000,3.6474244594573975,25.863003,0.32626953125,0.1265
28000,3.5347073078155518,24.607302,0.3337890625,0.15
30000,3.673588514328003,22.814499,0.34931640625,0.1864
32000,3.832321882247925,19.862202,0.3974609375,0.2224
34000,3.9643428325653076,17.00748,0.43251953125,0.2825
36000,3.897475242614746,14.152128,0.48955078125,0.3207
38000,4.077430248260498,11.48081,0.5353515625,0.3705
40000,4.123477458953857,9.36477,0.57802734375,0.4039
42000,4.2271223068237305,7.3960915,0.6078125,0.4484
44000,4.387807369232178,5.9479146,0.63759765625,0.4709
46000,4.409088611602783,4.9230194,0.65458984375,0.4947
48000,4.322890758514404,4.1292434,0.67734375,0.5103
50000,4.405862808227539,3.5230284,0.69189453125,0.518
52000,4.399187088012695,3.0920253,0.69052734375,0.5219
54000,4.44983434677124,2.7388408,0.71201171875,0.5233
56000,4.6519622802734375,2.3712254,0.7095703125,0.5415
58000,4.512564182281494,2.2595968,0.71298828125,0.5449
60000,4.35437536239624,2.1243157,0.7181640625,0.5404
62000,4.468585968017578,2.0270925,0.72109375,0.5435
64000,4.5633320808410645,1.8958125,0.7251953125,0.5372
66000,4.40278434753418,1.900726,0.72734375,0.5467
68000,4.451937198638916,1.7900037,0.73427734375,0.5444
70000,4.446603298187256,1.6692472,0.731640625,0.5436
72000,4.352016925811768,1.657176,0.7318359375,0.5468
74000,4.626062870025635,1.7019746,0.741796875,0.5402
76000,4.492729187011719,1.6433485,0.73935546875,0.5487
78000,4.557964324951172,1.6478044,0.734375,0.5491
80000,4.592726707458496,1.5340036,0.73349609375,0.5447
82000,4.566972255706787,1.6141605,0.74296875,0.5376
84000,4.471993923187256,1.6172724,0.733203125,0.5504
86000,4.361785411834717,1.593672,0.7447265625,0.5371
88000,4.583527088165283,1.5862598,0.74296875,0.5497
90000,4.414393424987793,1.5718114,0.74208984375,0.5445
92000,4.471647262573242,1.5164249,0.74375,0.5461
94000,4.299800395965576,1.4994537,0.7455078125,0.5434
96000,4.431704044342041,1.5868311,0.7462890625,0.5344
98000,4.670506000518799,1.5809263,0.74677734375,0.5454
100000,4.53956413269043,1.5929128,0.738671875,0.5413
102000,4.390417098999023,1.5111704,0.746875,0.5385
104000,4.384521484375,1.5520763,0.74697265625,0.5407
106000,4.3749566078186035,1.6440217,0.748828125,0.5351
108000,4.345975399017334,1.6718988,0.7435546875,0.5411
110000,4.313155651092529,1.5754582,0.74951171875,0.5457
112000,4.445715427398682,1.5817965,0.7443359375,0.5424
114000,4.567620754241943,1.6188236,0.74775390625,0.5397
116000,4.507853031158447,1.5879097,0.74599609375,0.5351
118000,4.684726238250732,1.6691146,0.7458984375,0.5374
120000,4.422605991363525,1.5299506,0.7451171875,0.543
122000,4.582125186920166,1.64992,0.751171875,0.5336
124000,4.559604644775391,1.699758,0.7517578125,0.5425
126000,4.467930316925049,1.6415923,0.75126953125,0.5349
128000,4.5092973709106445,1.7167338,0.75283203125,0.5289
130000,4.362753391265869,1.7495217,0.75595703125,0.5386
132000,4.4469685554504395,1.6467222,0.75205078125,0.536
134000,4.652442455291748,1.815535,0.748828125,0.5221
136000,4.485749244689941,1.7241153,0.75068359375,0.5224
138000,4.234960556030273,1.6999722,0.75458984375,0.5152
140000,4.351564884185791,1.6905248,0.74140625,0.5361
142000,4.386805057525635,1.785964,0.7515625,0.5246
144000,4.552829742431641,1.6576216,0.7501953125,0.5352
146000,4.34970235824585,1.7078232,0.7513671875,0.527
148000,4.440620422363281,1.7297636,0.75224609375,0.5328
150000,4.347143173217773,1.6967146,0.74482421875,0.541
152000,4.312915802001953,1.7880418,0.746484375,0.5337
154000,4.3915205001831055,1.7696357,0.75234375,0.5281
