step,inception_score,fid_mean,precision,recall
0,1.4693248271942139,402.14282815358376,0.0,0.0
2000,2.024477481842041,144.1758634653972,0.0381,0.0009
4000,2.7417423725128174,67.0074179211536,0.3144,0.1004
6000,3.0898337364196777,40.572190017999844,0.5209,0.2393
8000,3.202864408493042,32.86128094935157,0.6086,0.274
10000,3.231393814086914,30.253272098196305,0.6389,0.271
